nuclides,reactions,groups,xs
Cr54,"(n,a)",1,1.4421995967858116e-05
Cr54,"(n,3n)",1,0.0
Cr54,"(n,4n)",1,0.0
Cr54,fission,1,0.0
Mn54,"(n,gamma)",1,5.558844944005633
Mn54,"(n,2n)",1,0.0002519219542823436
Mn54,"(n,p)",1,0.5179471820711375
Mn54,"(n,a)",1,0.00034873717399889196
Mn54,"(n,3n)",1,0.0
Mn54,"(n,4n)",1,0.0
Mn54,fission,1,0.0
Mn55,"(n,gamma)",1,2.1656934547459095
Mn55,"(n,2n)",1,9.786471721937975e-05
Mn55,"(n,p)",1,7.57823016489947e-05
Mn55,"(n,a)",1,1.197203642867081e-05
Mn55,"(n,3n)",1,0.0
Mn55,"(n,4n)",1,0.0
Mn55,fission,1,0.0
Fe54,"(n,gamma)",1,0.33665899169924884
Fe54,"(n,2n)",1,7.239158622721591e-07
Fe54,"(n,p)",1,0.022244001017002697
Fe54,"(n,a)",1,0.00021547684229600696
Fe54,"(n,3n)",1,0.0
Fe54,"(n,4n)",1,0.0
Fe54,fission,1,0.0
Fe55,"(n,gamma)",1,1.9367076385894666
Fe55,"(n,2n)",1,7.695603850186488e-05
Fe55,"(n,p)",1,0.021625582421891894
Fe55,"(n,a)",1,0.002017385109674668
Fe55,"(n,3n)",1,0.0
Fe55,"(n,4n)",1,0.0
Fe55,fission,1,0.0
Fe56,"(n,gamma)",1,0.3878853150342001
Fe56,"(n,2n)",1,3.5029670679034336e-05
Fe56,"(n,p)",1,0.0003163747169861808
Fe56,"(n,a)",1,7.06966816413579e-05
Fe56,"(n,3n)",1,0.0
Fe56,"(n,4n)",1,0.0
Fe56,fission,1,0.0
Fe57,"(n,gamma)",1,0.37576004922186673
Fe57,"(n,2n)",1,0.0005086079015758009
Fe57,"(n,p)",1,0.00019277201481132677
Fe57,"(n,a)",1,0.00022829743884673507
Fe57,"(n,3n)",1,0.0
Fe57,"(n,4n)",1,0.0
Fe57,fission,1,0.0
Fe58,"(n,gamma)",1,0.21529178240856098
Fe58,"(n,2n)",1,0.00013141539428000406
Fe58,"(n,p)",1,1.1271053749172315e-05
Fe58,"(n,a)",1,8.459605254246478e-06
Fe58,"(n,3n)",1,0.0
Fe58,"(n,4n)",1,0.0
Fe58,fission,1,0.0
Co58,"(n,gamma)",1,424.5501715299952
Co58,"(n,2n)",1,0.0002528067188302261
Co58,"(n,p)",1,4.7276513233261515
Co58,"(n,a)",1,0.0016801724512712046
Co58,"(n,3n)",1,0.0
Co58,"(n,4n)",1,0.0
Co58,fission,1,0.0
Co58_m1,"(n,gamma)",1,24430.14161798548
Co58_m1,"(n,2n)",1,0.00028587488238705083
Co58_m1,"(n,p)",1,6410.629234590518
Co58_m1,"(n,a)",1,0.001660320380137691
Co58_m1,"(n,3n)",1,0.0
Co58_m1,"(n,4n)",1,0.0
Co58_m1,fission,1,0.0
Co59,"(n,gamma)",1,7.130473324858973
Co59,"(n,2n)",1,8.829310438483845e-05
Co59,"(n,p)",1,0.0004058825832170332
Co59,"(n,a)",1,4.595189301215795e-05
Co59,"(n,3n)",1,0.0
Co59,"(n,4n)",1,0.0
Co59,fission,1,0.0
Ni58,"(n,gamma)",1,0.6230757598352342
Ni58,"(n,2n)",1,1.6204486715558967e-06
Ni58,"(n,p)",1,0.03029706604737258
Ni58,"(n,a)",1,0.0020537869812579414
Ni58,"(n,3n)",1,0.0
Ni58,"(n,4n)",1,0.0
Ni58,fission,1,0.0
Ni59,"(n,gamma)",1,13.567489677085696
Ni59,"(n,2n)",1,9.374807797552355e-05
Ni59,"(n,p)",1,0.28958439592223606
Ni59,"(n,a)",1,2.2262046372916497
Ni59,"(n,3n)",1,0.0
Ni59,"(n,4n)",1,0.0
Ni59,fission,1,0.0
Ni60,"(n,gamma)",1,0.35831621653615214
Ni60,"(n,2n)",1,2.8671373209294615e-05
Ni60,"(n,p)",1,0.0005830347402896932
Ni60,"(n,a)",1,0.0002644503807236625
Ni60,"(n,3n)",1,0.0
Ni60,"(n,4n)",1,0.0
Ni60,fission,1,0.0
Ni61,"(n,gamma)",1,0.4109779525766847
Ni61,"(n,2n)",1,0.0004136613813014584
Ni61,"(n,p)",1,0.0006683004800849597
Ni61,"(n,a)",1,0.0004690323473954744
Ni61,"(n,3n)",1,0.0
Ni61,"(n,4n)",1,0.0
Ni61,fission,1,0.0
Ni62,"(n,gamma)",1,2.1941027699734645
Ni62,"(n,2n)",1,9.092332790730986e-05
Ni62,"(n,p)",1,1.3891656025622734e-05
Ni62,"(n,a)",1,1.4630742734035645e-05
Ni62,"(n,3n)",1,0.0
Ni62,"(n,4n)",1,0.0
Ni62,fission,1,0.0
Ni63,"(n,gamma)",1,3.803101656473313
Ni63,"(n,2n)",1,0.0009831349361592752
